X	Y	OBJECTID	SERVICECODE	SERVICECODEDESCRIPTION	SERVICETYPECODEDESCRIPTION	ORGANIZATIONACRONYM	SERVICECALLCOUNT	ADDDATE	RESOLUTIONDATE	SERVICEDUEDATE	SERVICEORDERDATE	INSPECTIONFLAG	INSPECTIONDATE	SERVICEORDERSTATUS	STATUS_CODE	SERVICEREQUESTID	PRIORITY	STREETADDRESS	XCOORD	YCOORD	LATITUDE	LONGITUDE	CITY	STATE	ZIPCODE	MARADDRESSREPOSITORYID	WARD
-77.02057118	38.93899509	466	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-07-05T13:59:54.000Z	2018-07-13T14:34:38.000Z	2018-07-25T13:59:00.000Z	2018-07-05T13:59:54.000Z	Y	2018-07-13T14:33:00.000Z	CLOSED	CLOSED	18-00355249	STANDARD	543 RANDOLPH STREET NW	398216.75	141233.42	38.93898763	-77.02056889	WASHINGTON	DC	20011	247726	4
-77.01046771	38.91427626	467	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-06-26T15:04:37.000Z	2018-07-18T15:29:56.000Z	2018-07-17T15:04:00.000Z	2018-06-26T15:04:37.000Z	Y	2018-07-18T15:29:00.000Z	CLOSED	CLOSED	18-00336045	STANDARD	39 S STREET NW	399092.37	138489.27	38.9142688	-77.01046543	WASHINGTON	DC	20001	227081	5
-77.0344173	38.96595566	468	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-07-16T15:36:07.000Z	2018-07-19T08:19:48.000Z	2018-08-03T15:36:00.000Z	2018-07-16T15:36:07.000Z	Y	2018-07-19T08:22:00.000Z	CLOSED	CLOSED	18-00379231	STANDARD	1426 SHERIDAN STREET NW	397017.47	144226.65	38.9659482	-77.034415	WASHINGTON	DC	20011	257949	4
-77.03572479	38.92803464	469	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-07-05T14:01:53.000Z	2018-07-11T07:14:34.000Z	2018-07-25T14:01:00.000Z	2018-07-05T14:01:53.000Z	Y	2018-07-11T07:14:00.000Z	CLOSED	CLOSED	18-00355259	STANDARD	3035 15TH STREET NW	396902.51	140017.12	38.92802685	-77.0357225	WASHINGTON	DC	20009	234374	1
-76.9950471	38.85373505	470	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-06-22T20:08:16.000Z	2018-06-22T20:08:56.000Z	2018-07-13T17:00:00.000Z	2018-06-22T20:08:16.000Z	Y	2018-06-22T20:08:00.000Z	CLOSED	CLOSED	18-00329251	STANDARD	2720 MARTIN LUTHER KING JR AVENUE SE	400430.11	131768.69	38.8537276	-76.99504482	WASHINGTON	DC	20032	301360	8
-77.02037581	38.93987938	471	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-07-22T14:06:38.000Z		2018-08-09T17:00:00.000Z	2018-07-22T14:06:38.000Z	Y	To be inspected	OPEN	OPEN	18-00391549	STANDARD	500  - 599 BLOCK OF SHEPHERD STREET NW	398233.71	141331.58	38.93987158	-77.02037352	WASHINGTON	DC	20011	804452	4
-77.01639942	38.97475685	472	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-07-03T17:00:47.000Z	2018-07-13T14:31:08.000Z	2018-07-24T17:00:00.000Z	2018-07-03T17:00:47.000Z	Y	2018-07-13T14:31:00.000Z	CLOSED	CLOSED	18-00352233	STANDARD	300 CARROLL STREET NW	398579.14	145203.23	38.97474938	-77.01639713	WASHINGTON	DC	20012	284548	4
-76.9861076	38.89220399	473	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-07-03T16:59:37.000Z		2018-07-24T16:59:00.000Z	2018-07-03T16:59:37.000Z	Y	To be inspected	OPEN	OPEN	18-00352226	STANDARD	1356 CONSTITUTION AVENUE NE	401205.41	136039.11	38.89219654	-76.98610532	WASHINGTON	DC	20002	66076	6
-76.92494953	38.90102549	474	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-07-11T09:18:29.000Z	2018-07-13T13:35:45.000Z	2018-07-31T09:18:00.000Z	2018-07-11T09:18:29.000Z	Y	2018-07-13T13:35:00.000Z	CLOSED	CLOSED	18-00367252	STANDARD	836 DIVISION AVENUE NE	406510.27	137020.95	38.90101803	-76.92494727	WASHINGTON	DC	20019	81240	7
-77.00274392	38.91502772	475	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-07-05T12:07:11.000Z	2018-07-17T11:53:46.000Z	2018-07-25T12:07:00.000Z	2018-07-05T12:07:11.000Z	Y	2018-07-17T11:53:00.000Z	CLOSED	CLOSED	18-00354666	STANDARD	222 SEATON PLACE NE	399762.23	138572.64	38.91502026	-77.00274164	WASHINGTON	DC	20002	49992	5
-76.99212106	38.84335735	476	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-06-26T12:36:50.000Z	2018-07-12T08:54:40.000Z	2018-07-17T12:36:00.000Z	2018-06-26T12:36:50.000Z	Y	2018-07-12T08:54:00.000Z	CLOSED	CLOSED	18-00335323	STANDARD	3214 10TH PLACE SE	400684.19	130616.71	38.8433499	-76.99211878	WASHINGTON	DC	20032	38346	8
-77.01871322	38.91443134	477	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-06-25T06:48:19.000Z	2018-07-03T14:27:47.000Z	2018-07-13T17:00:00.000Z	2018-06-25T06:48:19.000Z	Y	2018-07-03T14:27:00.000Z	CLOSED	CLOSED	18-00331057	STANDARD	1803 5TH STREET NW	398377.27	138506.6	38.91442389	-77.01871093	WASHINGTON	DC	20001	238759	6
-76.9291971	38.90805538	478	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-07-11T16:05:33.000Z	2018-07-18T15:39:49.000Z	2018-07-31T16:05:00.000Z	2018-07-11T16:05:33.000Z	Y	2018-07-18T15:39:00.000Z	CLOSED	CLOSED	18-00369157	STANDARD	1314 EASTERN AVENUE NE	406141.22	137801.03	38.90804792	-76.92919484	WASHINGTON	DC	20019	68269	7
-77.03016201	38.89756982	479	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-07-18T09:30:30.000Z	2018-07-19T08:42:46.000Z	2018-08-07T09:30:00.000Z	2018-07-18T09:30:30.000Z	Y	2018-07-19T08:42:00.000Z	CLOSED	CLOSED	18-00383306	STANDARD	1309 F STREET NW	397383.74	136635.1	38.89756237	-77.03015972	WASHINGTON	DC	20004	240660	2
-77.01916097	38.88147787	480	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-07-12T09:40:57.000Z		2018-08-01T09:40:00.000Z	2018-07-12T09:40:57.000Z	Y	To be inspected	OPEN	OPEN	18-00370328	STANDARD	507 G STREET SW	398337.67	134848.51	38.88147042	-77.01915868	WASHINGTON	DC	20024	13846	6
-77.06291608	38.90697933	481	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-07-18T10:37:48.000Z		2018-08-07T10:37:00.000Z	2018-07-18T10:37:48.000Z	Y	To be inspected	OPEN	OPEN	18-00383597	STANDARD	1303 WISCONSIN AVENUE NW	394543.15	137681.08	38.90697188	-77.06291377	WASHINGTON	DC	20007	223446	2
-76.98141199	38.87094192	482	S0311	Rodent Inspection and Treatment	DOH- Department Of Health	DOH	1	2018-06-27T15:04:23.000Z	2018-07-12T08:40:09.000Z	2018-07-18T15:04:00.000Z	2018-06-27T15:04:23.000Z	Y	2018-07-12T08:40:00.000Z	CLOSED	CLOSED	18-00338880	STANDARD	1620 Q STREET SE	401613.25	133678.93	38.87093447	-76.98140972	WASHINGTON	DC	20020	59499	8
