X,Y,OBJECTID,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,SERVICEREQUESTID,PRIORITY,STREETADDRESS,XCOORD,YCOORD,LATITUDE,LONGITUDE,CITY,STATE,ZIPCODE,MARADDRESSREPOSITORYID,WARD
-77.020571184157248,38.938995089434741,466,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-05T13:59:54.000Z,2018-07-13T14:34:38.000Z,2018-07-25T13:59:00.000Z,2018-07-05T13:59:54.000Z,Y,2018-07-13T14:33:00.000Z,,CLOSED,CLOSED,18-00355249,STANDARD,543 RANDOLPH STREET NW,398216.75,141233.42,38.93898763,-77.02056889,WASHINGTON,DC,20011,247726,4
-77.010467714670568,38.914276259800701,467,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-26T15:04:37.000Z,2018-07-18T15:29:56.000Z,2018-07-17T15:04:00.000Z,2018-06-26T15:04:37.000Z,Y,2018-07-18T15:29:00.000Z,,CLOSED,CLOSED,18-00336045,STANDARD,39 S STREET NW,399092.37,138489.27,38.9142688,-77.01046543,WASHINGTON,DC,20001,227081,5
-77.034417296460731,38.96595566355829,468,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-16T15:36:07.000Z,2018-07-19T08:19:48.000Z,2018-08-03T15:36:00.000Z,2018-07-16T15:36:07.000Z,Y,2018-07-19T08:22:00.000Z,,CLOSED,CLOSED,18-00379231,STANDARD,1426 SHERIDAN STREET NW,397017.47,144226.65,38.9659482,-77.034415,WASHINGTON,DC,20011,257949,4
-77.035724794456527,38.928034638215721,469,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-05T14:01:53.000Z,2018-07-11T07:14:34.000Z,2018-07-25T14:01:00.000Z,2018-07-05T14:01:53.000Z,Y,2018-07-11T07:14:00.000Z,,CLOSED,CLOSED,18-00355259,STANDARD,3035 15TH STREET NW,396902.51,140017.12,38.92802685,-77.0357225,WASHINGTON,DC,20009,234374,1
-76.995047102418866,38.853735049618848,470,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-22T20:08:16.000Z,2018-06-22T20:08:56.000Z,2018-07-13T17:00:00.000Z,2018-06-22T20:08:16.000Z,Y,2018-06-22T20:08:00.000Z,,CLOSED,CLOSED,18-00329251,STANDARD,2720 MARTIN LUTHER KING JR AVENUE SE,400430.11,131768.69,38.8537276,-76.99504482,WASHINGTON,DC,20032,301360,8
-77.020375811774556,38.93987937787135,471,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-22T14:06:38.000Z,,2018-08-09T17:00:00.000Z,2018-07-22T14:06:38.000Z,Y,,,OPEN,OPEN,18-00391549,STANDARD,500  - 599 BLOCK OF SHEPHERD STREET NW,398233.71,141331.58,38.9398715824593,-77.0203735194547,WASHINGTON,DC,20011,804452,4
-77.016399423472365,38.974756846095076,472,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-03T17:00:47.000Z,2018-07-13T14:31:08.000Z,2018-07-24T17:00:00.000Z,2018-07-03T17:00:47.000Z,Y,2018-07-13T14:31:00.000Z,,CLOSED,CLOSED,18-00352233,STANDARD,300 CARROLL STREET NW,398579.14,145203.23,38.97474938,-77.01639713,WASHINGTON,DC,20012,284548,4
-76.986107599787218,38.892203991915999,473,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-03T16:59:37.000Z,,2018-07-24T16:59:00.000Z,2018-07-03T16:59:37.000Z,Y,,,OPEN,OPEN,18-00352226,STANDARD,1356 CONSTITUTION AVENUE NE,401205.41,136039.11,38.89219654,-76.98610532,WASHINGTON,DC,20002,66076,6
-76.924949533041314,38.901025486150353,474,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-11T09:18:29.000Z,2018-07-13T13:35:45.000Z,2018-07-31T09:18:00.000Z,2018-07-11T09:18:29.000Z,Y,2018-07-13T13:35:00.000Z,,CLOSED,CLOSED,18-00367252,STANDARD,836 DIVISION AVENUE NE,406510.27,137020.95,38.90101803,-76.92494727,WASHINGTON,DC,20019,81240,7
-77.00274392098838,38.91502772159415,475,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-05T12:07:11.000Z,2018-07-17T11:53:46.000Z,2018-07-25T12:07:00.000Z,2018-07-05T12:07:11.000Z,Y,2018-07-17T11:53:00.000Z,,CLOSED,CLOSED,18-00354666,STANDARD,222 SEATON PLACE NE,399762.23,138572.64,38.91502026,-77.00274164,WASHINGTON,DC,20002,49992,5
